"datetime","year","Month","Mdat","Yday","Wday","hour","humidity","pressure","temperature","weather","wind_direction","wind_speed","is_extreme_weather"
"2012-10-01 13:00",2012,10,1,275,2,13,82,1012,286.26,"sky is clear",240,3,"No"
"2012-10-01 14:00",2012,10,1,275,2,14,81,1011,286.262541,"sky is clear",236,3,"No"
"2012-10-01 15:00",2012,10,1,275,2,15,79,1011,286.2695184,"sky is clear",226,3,"No"
"2012-10-01 16:00",2012,10,1,275,2,16,77,1010,286.2764959,"sky is clear",216,3,"No"
"2012-10-01 17:00",2012,10,1,275,2,17,76,1010,286.2834733,"sky is clear",206,3,"No"
"2012-10-01 18:00",2012,10,1,275,2,18,74,1009,286.2904508,"sky is clear",197,3,"No"
"2012-10-01 19:00",2012,10,1,275,2,19,72,1009,286.2974283,"sky is clear",187,3,"No"
"2012-10-01 20:00",2012,10,1,275,2,20,70,1008,286.3044057,"sky is clear",177,3,"No"
"2012-10-01 21:00",2012,10,1,275,2,21,69,1008,286.3113832,"sky is clear",167,3,"No"
"2012-10-01 22:00",2012,10,1,275,2,22,67,1007,286.3183606,"sky is clear",157,3,"No"
"2012-10-01 23:00",2012,10,1,275,2,23,65,1007,286.3253381,"sky is clear",147,3,"No"
"2012-10-02 0:00",2012,10,2,276,3,0,63,1006,286.3323156,"sky is clear",137,3,"No"
"2012-10-02 1:00",2012,10,2,276,3,1,61,1006,286.339293,"sky is clear",128,3,"No"
"2012-10-02 2:00",2012,10,2,276,3,2,60,1005,286.3462705,"sky is clear",118,3,"No"
"2012-10-02 3:00",2012,10,2,276,3,3,58,1005,286.3532479,"sky is clear",108,3,"No"
"2012-10-02 4:00",2012,10,2,276,3,4,56,1004,286.3602254,"sky is clear",98,3,"No"
"2012-10-02 5:00",2012,10,2,276,3,5,54,1004,286.3672029,"sky is clear",88,3,"No"
"2012-10-02 6:00",2012,10,2,276,3,6,53,1003,286.3741803,"sky is clear",78,3,"No"
"2012-10-02 7:00",2012,10,2,276,3,7,51,1003,286.3811578,"sky is clear",68,3,"No"
"2012-10-02 8:00",2012,10,2,276,3,8,49,1002,286.3881352,"sky is clear",59,3,"No"
"2012-10-02 9:00",2012,10,2,276,3,9,47,1002,286.3951127,"sky is clear",49,3,"No"
"2012-10-02 10:00",2012,10,2,276,3,10,46,1001,286.4020902,"sky is clear",39,3,"No"
"2012-10-02 11:00",2012,10,2,276,3,11,44,1001,286.4090676,"sky is clear",29,3,"No"
"2012-10-02 12:00",2012,10,2,276,3,12,42,1000,286.4160451,"sky is clear",19,3,"No"
"2012-10-02 13:00",2012,10,2,276,3,13,40,1000,286.4230225,"sky is clear",9,3,"No"
"2012-10-02 14:00",2012,10,2,276,3,14,39,1000,286.43,"sky is clear",0,3,"No"
"2012-10-02 15:00",2012,10,2,276,3,15,77,1012,288.04,"scattered clouds",200,5,"No"
"2012-10-02 16:00",2012,10,2,276,3,16,34,1000,289.21,"sky is clear",0,3,"No"
"2012-10-02 17:00",2012,10,2,276,3,17,33,1000,289.35,"sky is clear",0,3,"No"
"2012-10-02 18:00",2012,10,2,276,3,18,72,1012,289.27,"overcast clouds",200,5,"No"
"2012-10-02 19:00",2012,10,2,276,3,19,32,1000,289.19,"sky is clear",0,3,"No"
"2012-10-02 20:00",2012,10,2,276,3,20,33,1000,288.87,"sky is clear",0,3,"No"
"2012-10-02 21:00",2012,10,2,276,3,21,33,1000,289.61,"sky is clear",0,3,"No"
"2012-10-02 22:00",2012,10,2,276,3,22,34,1000,289.53,"sky is clear",0,3,"No"
"2012-10-02 23:00",2012,10,2,276,3,23,34,1000,288.75,"sky is clear",0,3,"No"
"2012-10-03 0:00",2012,10,3,277,4,0,82,1012,287.67,"few clouds",0,1,"No"
"2012-10-03 1:00",2012,10,3,277,4,1,34,1000,287.36,"sky is clear",0,3,"No"
"2012-10-03 2:00",2012,10,3,277,4,2,76,1013,285.5,"sky is clear",290,1,"No"
"2012-10-03 3:00",2012,10,3,277,4,3,34,1000,285.34,"sky is clear",0,3,"No"
"2012-10-03 4:00",2012,10,3,277,4,4,34,1000,284.66,"sky is clear",0,3,"No"
"2012-10-03 5:00",2012,10,3,277,4,5,87,1012,283.52,"overcast clouds",0,0,"No"
"2012-10-03 6:00",2012,10,3,277,4,6,34,1000,283.44,"sky is clear",0,3,"No"
"2012-10-03 7:00",2012,10,3,277,4,7,87,1012,284.13,"overcast clouds",70,3,"No"
"2012-10-03 8:00",2012,10,3,277,4,8,34,1000,284.22,"sky is clear",0,3,"No"
"2012-10-03 9:00",2012,10,3,277,4,9,82,1012,284.98,"haze",60,3,"No"
